player,role,role_mantra,team,Prezzo_Consigliato_Cr,NN_FV_Atteso,NN_MV_Atteso,NN_Rischio_Std,Prob_Bonus_Ge_8_%,Prob_Picco_Ge_10_%,Clean_Sheet_%,FVM_1000,n_stagioni,mv_media_3y,mv_storica,mv_std,mv_trend,availability,gol_per_pg,ass_per_pg,amm_per_pg,rig_per_pg,n_seasons_us,xg_media_3y,xa_media_3y,xg_per90,xa_per90,npxg_per90,shots_per90,offensive_index,gf_avg_3y,giorni_infortunio_3y,n_infortuni_3y,infortunio_grave,malus_infortuni,score_composito,score_composito_base,predicted_pts_p10,predicted_pts_p50,predicted_pts_p90,pts_volatility_spread,vorp_points,prezzo_fair_1000,prezzo_fair_500,surplus_value_cr
Martinez L.,A,Pc,INT,33,36.1,6.0,0.5,0.0,0.0,0.0,361,8.0,6.382,6.35,0.172,0.0352,0.852,0.51,0.112,0.135,0.042,,,,,,,,1.1,3.009,140,12,0,0.544,0.5532,0.6024,179.6,255.3,271.1,91.5,149.4,215,105,182
Pellegrino M.,A,Pc,FIO,14,4.0,6.0,0.5,0.0,0.0,0.0,40,2.0,6.04,6.065,0.075,,0.632,0.25,0.0,0.146,0.021,2.0,8.233,1.286,0.355,0.062,0.336,2.278,1.0124,2.045,34,3,0,0.132,0.548,0.5591,87.8,110.4,110.4,22.6,4.5,7,4,-7
De Ketelaere,A,A,ATA,17,9.5,6.0,0.5,0.0,0.0,0.0,95,4.0,6.222,6.115,0.222,0.128,0.822,0.16,0.152,0.064,0.008,4.0,6.688,6.921,0.293,0.335,0.284,1.913,1.0354,2.298,112,11,0,0.436,0.5477,0.586,180.4,248.5,270.5,90.1,142.6,205,100,188
Laurientè,A,A,SAS,15,8.3,6.0,0.5,0.0,0.0,0.0,83,1.0,6.23,6.23,0.0,,0.974,0.189,0.243,0.108,0.0,,,,,,,,0.9714,1.594,0,0,0,0.0,0.5415,0.5415,189.1,277.2,289.3,100.2,171.3,246,120,231
Thuram,A,Pc,INT,28,24.9,6.0,0.5,0.0,0.0,0.0,249,3.0,6.415,6.433,0.086,-0.055,0.842,0.417,0.177,0.062,0.0,,,,,,,,1.1,3.009,106,12,0,0.412,0.5366,0.5719,180.4,255.3,270.6,90.2,149.4,215,105,187
Esposito F.P.,A,Pc,INT,17,10.5,6.0,0.5,0.0,0.0,0.0,105,1.0,6.26,6.26,0.0,,0.816,0.226,0.097,0.032,0.0,,,,,,,,1.1,3.009,0,0,0,0.0,0.5305,0.5305,193.4,267.1,298.6,105.2,161.2,232,113,215
Krstovic,A,Pc,ATA,18,9.8,6.0,0.5,0.0,0.0,0.0,98,3.0,6.082,6.04,0.102,0.125,0.895,0.275,0.108,0.137,0.029,,,,,,,,1.0354,2.298,3,2,0,0.012,0.528,0.529,189.1,285.8,321.7,132.6,179.9,258,126,240
Giovane,A,A,NAP,4,0.7,6.0,0.5,0.0,0.0,0.0,7,1.0,6.0,6.0,0.0,,0.816,0.097,0.194,0.065,0.0,1.0,4.269,4.357,0.205,0.209,0.205,2.691,1.0241,2.173,54,4,0,0.21,0.5272,0.5443,91.9,120.5,164.1,72.2,14.6,22,11,18
Douvikas,A,Pc,COM,22,18.5,6.0,0.5,0.0,0.0,0.0,185,2.0,6.19,6.195,0.015,,0.632,0.333,0.042,0.021,0.021,,,,,,,,1.0068,1.982,10,4,0,0.039,0.5255,0.5286,153.0,200.8,211.8,58.8,94.9,137,67,115
Hojlund,A,Pc,NAP,28,26.0,6.0,0.5,0.0,0.0,0.0,260,2.0,6.18,6.165,0.045,,0.829,0.333,0.111,0.032,0.016,,,,,,,,1.0241,2.173,136,11,0,0.529,0.5211,0.566,177.3,243.5,270.3,93.0,137.6,198,97,170
Yildiz,A,A,JUV,22,10.0,6.0,0.5,0.0,0.0,0.0,100,3.0,6.317,6.26,0.15,0.17,0.789,0.211,0.111,0.078,0.011,,,,,,,,1.0076,1.992,37,8,0,0.144,0.5099,0.5212,180.4,254.2,270.6,90.2,148.3,213,104,191
Varela G.,A,Pc,MON,7,4.0,6.0,0.5,0.0,0.0,0.0,40,,,,,,,,,,,,,,,,,,0.9337,1.178,0,0,0,0.0,0.5063,0.5063,108.2,121.5,155.4,47.2,15.6,23,12,16
Bonny,A,Pc,INT,7,1.5,6.0,0.5,0.0,0.0,0.0,15,2.0,6.11,6.09,0.06,,0.842,0.172,0.125,0.047,0.031,,,,,,,,1.1,3.009,33,7,0,0.128,0.5017,0.5115,95.5,123.3,172.4,76.9,17.4,26,13,19
De Martis,A,Pc,PAR,1,0.1,6.0,0.5,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,0.9545,1.408,0,0,0,0.0,0.5014,0.5014,95.5,117.1,152.1,56.6,11.2,17,9,16
